"id";"nome";"regional_id";"cidade_id";"territorio"
"1";"AARÃO REIS";"6";"2302";"N4"
"2";"ACABA MUNDO";"2";"2302";"CS3"
"3";"ACAIACA";"4";"2302";"NE1"
"4";"ADEMAR MALDONADO";"1";"2302";"B2"
"5";"AEROPORTO";"8";"2302";"P3"
"6";"ALÍPIO DE MELO";"8";"2302";"P4"
"7";"ALPES";"7";"2302";"O3"
"8";"ALTO BARROCA";"7";"2302";"O1"
"9";"ALTO CAIÇARAS";"5";"2302";"NO2"
"10";"ALTO DOS PINHEIROS";"5";"2302";"NO4"
"11";"ALTO VERA CRUZ";"3";"2302";"L4"
"12";"ÁLVARO CAMARGOS";"5";"2302";"NO3"
"13";"ANCHIETA";"2";"2302";"CS2"
"14";"ANDIROBA";"4";"2302";"NE3"
"15";"ANTÔNIO RIBEIRO DE ABREU";"4";"2302";"NE1"
"16";"APARECIDA";"5";"2302";"NO1"
"17";"APARECIDA SÉTIMA SEÇÃO";"5";"2302";"NO1"
"18";"ÁPIA";"2";"2302";"CS5"
"19";"APOLÔNIA";"9";"2302";"VN4"
"20";"ARAGUAIA";"1";"2302";"B4"
"21";"ÁTILA DE PAIVA";"1";"2302";"B2"
"22";"BAIRRO DAS INDÚSTRIAS I";"1";"2302";"B1"
"23";"BAIRRO DAS INDÚSTRIAS II";"7";"2302";"O2"
"24";"BAIRRO NOVO DAS INDÚSTRIAS";"1";"2302";"B1"
"25";"BALEIA";"2";"2302";"CS3"
"26";"BALEIA";"3";"2302";"L4"
"27";"BANDEIRANTES";"8";"2302";"P2"
"28";"BARÃO HOMEM DE MELO III";"7";"2302";"O3"
"29";"BARREIRO";"1";"2302";"B2"
"30";"BARRO PRETO";"2";"2302";"CS1"
"31";"BEIJA FLOR";"4";"2302";"NE1"
"32";"BEIRA-LINHA";"4";"2302";"NE1"
"33";"BELMONTE";"4";"2302";"NE1"
"34";"BELVEDERE";"2";"2302";"CS2"
"35";"BERNADETE";"1";"2302";"B1"
"36";"BETÂNIA";"7";"2302";"O4"
"37";"BOA ESPERANÇA";"4";"2302";"NE1"
"38";"BOA VIAGEM";"2";"2302";"CS1"
"39";"BOA VISTA";"3";"2302";"L1"
"40";"BOM JESUS";"5";"2302";"NO1"
"41";"BONFIM";"5";"2302";"NO1"
"42";"BONSUCESSO";"1";"2302";"B1"
"43";"BRASIL INDUSTRIAL";"1";"2302";"B4"
"44";"BRAÚNAS";"8";"2302";"P1"
"45";"BURITIS";"7";"2302";"O5"
"46";"CABANA DO PAI TOMÁS";"7";"2302";"O2"
"47";"CACHOEIRINHA";"4";"2302";"NE4"
"48";"CAIÇARA-ADELAIDE";"5";"2302";"NO2"
"49";"CAIÇARAS";"5";"2302";"NO2"
"50";"CALAFATE";"7";"2302";"O1"
"51";"CALIFÓRNIA";"5";"2302";"NO3"
"52";"CAMARGOS";"7";"2302";"O2"
"53";"CAMPO ALEGRE";"6";"2302";"N3"
"54";"CAMPUS UFMG";"8";"2302";"P3"
"55";"CANAÃ";"9";"2302";"VN1"
"56";"CANDELÁRIA";"9";"2302";"VN3"
"57";"CAPITÃO EDUARDO";"4";"2302";"NE1"
"58";"CARDOSO";"1";"2302";"B4"
"59";"CARLOS PRATES";"2";"2302";"CS1"
"60";"CARLOS PRATES";"5";"2302";"NO4"
"61";"CARMO";"2";"2302";"CS2"
"62";"CASA BRANCA";"3";"2302";"L1"
"63";"CASTANHEIRA";"1";"2302";"B5"
"64";"CASTELO";"8";"2302";"P2"
"65";"CDI JATOBÁ";"1";"2302";"B5"
"66";"CENÁCULO";"9";"2302";"VN1"
"67";"CENTRO";"2";"2302";"CS1"
"68";"CÉU AZUL";"8";"2302";"P1"
"69";"CÉU AZUL";"9";"2302";"VN4"
"70";"CIDADE JARDIM";"2";"2302";"CS4"
"71";"CIDADE JARDIM TAQUARIL";"3";"2302";"L4"
"72";"CIDADE NOVA";"4";"2302";"NE5"
"73";"CINQUENTENÁRIO";"7";"2302";"O4"
"74";"COLÉGIO BATISTA";"3";"2302";"L2"
"75";"COMITECO";"2";"2302";"CS2"
"76";"CONCÓRDIA";"4";"2302";"NE4"
"77";"CONFISCO";"8";"2302";"P4"
"78";"CONJUNTO CALIFÓRNIA I";"5";"2302";"NO3"
"79";"CONJUNTO CALIFÓRNIA II";"5";"2302";"NO3"
"80";"CONJUNTO CAPITÃO EDUARDO";"4";"2302";"NE1"
"81";"CONJUNTO CELSO MACHADO";"8";"2302";"P4"
"82";"CONJUNTO JARDIM FILADÉLFIA";"5";"2302";"NO3"
"83";"CONJUNTO JATOBÁ";"1";"2302";"B5"
"84";"CONJUNTO LAGOA";"8";"2302";"P2"
"85";"CONJUNTO MINASCAIXA";"9";"2302";"VN1"
"86";"CONJUNTO PAULO VI";"4";"2302";"NE1"
"87";"CONJUNTO PROVIDÊNCIA";"6";"2302";"N4"
"88";"CONJUNTO SANTA MARIA";"2";"2302";"CS5"
"89";"CONJUNTO SERRA VERDE";"9";"2302";"VN1"
"90";"CONJUNTO TAQUARIL";"3";"2302";"L4"
"91";"COPACABANA";"8";"2302";"P1"
"92";"COPACABANA";"9";"2302";"VN4"
"93";"COQUEIROS";"5";"2302";"NO3"
"94";"CORAÇÃO DE JESUS";"2";"2302";"CS4"
"95";"CORAÇÃO EUCARÍSTICO";"5";"2302";"NO4"
"96";"CRUZEIRO";"2";"2302";"CS2"
"97";"DIAMANTE";"1";"2302";"B2"
"98";"DISTRITO INDUSTRIAL DO JATOBÁ";"1";"2302";"B5"
"99";"DOM BOSCO";"5";"2302";"NO3"
"100";"DOM CABRAL";"5";"2302";"NO4"
"101";"DOM JOAQUIM";"4";"2302";"NE3"
"102";"DOM SILVÉRIO";"4";"2302";"NE1"
"103";"DONA CLARA";"8";"2302";"P3"
"104";"ENGENHO NOGUEIRA";"8";"2302";"P2"
"105";"ERMELINDA";"5";"2302";"NO1"
"106";"ERNESTO DO NASCIMENTO";"1";"2302";"B5"
"107";"ESPERANÇA";"1";"2302";"B4"
"108";"ESPLANADA";"3";"2302";"L3"
"109";"ESTORIL";"7";"2302";"O5"
"110";"ESTORIL";"7";"2302";"O3"
"111";"ESTRELA";"2";"2302";"CS5"
"112";"ESTRELA DO ORIENTE";"7";"2302";"O4"
"113";"ETELVINA CARNEIRO";"6";"2302";"N1"
"114";"EUROPA";"9";"2302";"VN1"
"115";"EYMARD";"4";"2302";"NE3"
"116";"FAZENDINHA";"2";"2302";"CS3"
"117";"FERNÃO DIAS";"4";"2302";"NE3"
"118";"FLÁVIO DE OLIVEIRA";"1";"2302";"B4"
"119";"FLÁVIO MARQUES LISBOA";"1";"2302";"B4"
"120";"FLORAMAR";"6";"2302";"N3"
"121";"FLORESTA";"2";"2302";"CS1"
"122";"FLORESTA";"3";"2302";"L2"
"123";"FUNCIONÁRIOS";"2";"2302";"CS1"
"124";"GAMELEIRA";"7";"2302";"O2"
"125";"GARÇAS";"8";"2302";"P1"
"126";"GLÓRIA";"5";"2302";"NO3"
"127";"GOIÂNIA";"4";"2302";"NE2"
"128";"GRAÇA";"4";"2302";"NE5"
"129";"GRAJAÚ";"7";"2302";"O1"
"130";"GRANJA DE FREITAS";"3";"2302";"L4"
"131";"GRANJA WERNECK";"6";"2302";"N2"
"132";"GUARANI";"6";"2302";"N4"
"133";"GUARATÃ";"7";"2302";"O2"
"134";"GUTIERREZ";"7";"2302";"O1"
"135";"HAVAÍ";"7";"2302";"O4"
"136";"HELIÓPOLIS";"6";"2302";"N3"
"137";"HORTO";"3";"2302";"L2"
"138";"HORTO FLORESTAL";"3";"2302";"L2"
"139";"HORTO FLORESTAL";"4";"2302";"NE5"
"140";"HORTO FLORESTAL";"4";"2302";"NE3"
"141";"IMBAÚBAS";"7";"2302";"O2"
"142";"INCONFIDÊNCIA";"5";"2302";"NO3"
"143";"INCONFIDÊNCIA";"8";"2302";"P4"
"144";"INDAIÁ";"8";"2302";"P3"
"145";"INDEPENDÊNCIA";"1";"2302";"B5"
"146";"IPÊ";"4";"2302";"NE3"
"147";"IPIRANGA";"4";"2302";"NE5"
"148";"ITAIPU";"1";"2302";"B3"
"149";"ITAPOÃ";"8";"2302";"P1"
"150";"JAQUELINE";"6";"2302";"N1"
"151";"JARAGUÁ";"8";"2302";"P3"
"152";"JARDIM ALVORADA";"8";"2302";"P4"
"153";"JARDIM AMERICA";"7";"2302";"O1"
"154";"JARDIM ATLÂNTICO";"8";"2302";"P1"
"155";"JARDIM DOS COMERCIÁRIOS";"9";"2302";"VN2"
"156";"JARDIM FELICIDADE";"6";"2302";"N2"
"157";"JARDIM GUANABARA";"6";"2302";"N3"
"158";"JARDIM LEBLON";"9";"2302";"VN4"
"159";"JARDIM MONTANHÊS";"5";"2302";"NO2"
"160";"JARDIM SÃO JOSÉ";"8";"2302";"P4"
"161";"JARDIM VITÓRIA";"4";"2302";"NE2"
"162";"JARDINÓPOLIS";"7";"2302";"O2"
"163";"JATOBÁ";"1";"2302";"B3"
"164";"JOÃO PINHEIRO";"5";"2302";"NO4"
"165";"JONAS VEIGA";"3";"2302";"L3"
"166";"JULIANA";"6";"2302";"N1"
"167";"LAGOA";"9";"2302";"VN4"
"168";"LAGOA DA PAMPULHA";"8";"2302";"P2"
"169";"LAGOA DA PAMPULHA";"8";"2302";"P2"
"170";"LAGOINHA";"4";"2302";"NE4"
"171";"LAGOINHA";"5";"2302";"NO1"
"172";"LAGOINHA LEBLON";"9";"2302";"VN4"
"173";"LAJEDO";"6";"2302";"N2"
"174";"LETÍCIA";"9";"2302";"VN3"
"175";"LETÍCIA";"9";"2302";"VN2"
"176";"LIBERDADE";"8";"2302";"P3"
"177";"LINDÉIA";"1";"2302";"B3"
"178";"LOURDES";"2";"2302";"CS1"
"179";"LUXEMBURGO";"2";"2302";"CS4"
"180";"MADRE GERTRUDES";"7";"2302";"O2"
"181";"MADRI";"6";"2302";"N1"
"182";"MANGABEIRAS";"2";"2302";"CS2"
"183";"MANGABEIRAS";"3";"2302";"L4"
"184";"MANGABEIRAS";"3";"2302";"CS2"
"185";"MANGUEIRAS";"1";"2302";"B5"
"186";"MANTIQUEIRA";"9";"2302";"VN2"
"187";"MARAJÓ";"7";"2302";"O4"
"188";"MARÇOLA";"2";"2302";"CS3"
"189";"MARIA GORETTI";"4";"2302";"NE3"
"190";"MARIA HELENA";"9";"2302";"VN2"
"191";"MARIA VIRGÍNIA";"4";"2302";"NE4"
