"id";"nome";"uf"
"5265";"ABADIA DE GOIAS";"GO"
"2237";"ABADIA DOS DOURADOS";"MG"
"5266";"ABADIANIA";"GO"
"2238";"ABAETE";"MG"
"152";"ABAETETUBA";"PA"
"888";"ABAIARA";"CE"
"1822";"ABAIRA";"BA"
"1823";"ABARE";"BA"
"3903";"ABATIA";"PR"
"4302";"ABDON BATISTA";"SC"
"153";"ABEL FIGUEIREDO";"PA"
"4303";"ABELARDO LUZ";"SC"
"2239";"ABRE CAMPO";"MG"
"1461";"ABREU E LIMA";"PE"
"311";"ABREULANDIA";"TO"
"2240";"ACAIACA";"MG"
"450";"ACAILANDIA";"MA"
"1824";"ACAJUTIBA";"BA"
"154";"ACARA";"PA"
"889";"ACARAPE";"CE"
"890";"ACARAU";"CE"
"1072";"ACARI";"RN"
"667";"ACAUA";"PI"
"891";"ACOPIARA";"CE"
"5139";"ACORIZAL";"MT"
"53";"ACRELANDIA";"AC"
"5267";"ACREUNA";"GO"
"1073";"ACU";"RN"
"2241";"ACUCENA";"MG"
"3258";"ADAMANTINA";"SP"
"5268";"ADELANDIA";"GO"
"3259";"ADOLFO";"SP"
"3904";"ADRIANOPOLIS";"PR"
"1825";"ADUSTINA";"BA"
"1462";"AFOGADOS DA INGAZEIRA";"PE"
"1074";"AFONSO BEZERRA";"RN"
"3090";"AFONSO CLAUDIO";"ES"
"451";"AFONSO CUNHA";"MA"
"1463";"AFRANIO";"PE"
"155";"AFUA";"PA"
"1464";"AGRESTINA";"PE"
"668";"AGRICOLANDIA";"PI"
"4304";"AGROLANDIA";"SC"
"4305";"AGRONOMICA";"SC"
"156";"AGUA AZUL DO NORTE";"PA"
"2242";"AGUA BOA";"MG"
"5140";"AGUA BOA";"MT"
"1646";"AGUA BRANCA";"AL"
"669";"AGUA BRANCA";"PI"
"1238";"AGUA BRANCA";"PB"
"5062";"AGUA CLARA";"MS"
"2243";"AGUA COMPRIDA";"MG"
"4306";"AGUA DOCE";"SC"
"452";"AGUA DOCE DO MARANHAO";"MA"
"3092";"AGUA DOCE DO NORTE";"ES"
"1826";"AGUA FRIA";"BA"
"5269";"AGUA FRIA DE GOIAS";"GO"
"5270";"AGUA LIMPA";"GO"
"1075";"AGUA NOVA";"RN"
"1465";"AGUA PRETA";"PE"
"4595";"AGUA SANTA";"RS"
"3260";"AGUAI";"SP"
"2244";"AGUANIL";"MG"
"1466";"AGUAS BELAS";"PE"
"3261";"AGUAS DA PRATA";"SP"
"4307";"AGUAS DE CHAPECO";"SC"
"3262";"AGUAS DE LINDOIA";"SP"
"3263";"AGUAS DE SANTA BARBARA";"SP"
"3264";"AGUAS DE SAO PEDRO";"SP"
"2245";"AGUAS FORMOSAS";"MG"
"4308";"AGUAS FRIAS";"SC"
"5271";"AGUAS LINDAS DE GOIAS";"GO"
"4309";"AGUAS MORNAS";"SC"
"2246";"AGUAS VERMELHAS";"MG"
"4596";"AGUDO";"RS"
"3265";"AGUDOS";"SP"
"3905";"AGUDOS DO SUL";"PR"
"3091";"AGUIA BRANCA";"ES"
"1239";"AGUIAR";"PB"
"312";"AGUIARNOPOLIS";"TO"
"2247";"AIMORES";"MG"
"1828";"AIQUARA";"BA"
"892";"AIUABA";"CE"
"2248";"AIURUOCA";"MG"
"4597";"AJURICABA";"RS"
"2249";"ALAGOA";"MG"
"1240";"ALAGOA GRANDE";"PB"
"1241";"ALAGOA NOVA";"PB"
"1467";"ALAGOINHA";"PE"
"1242";"ALAGOINHA";"PB"
"670";"ALAGOINHA DO PIAUI";"PI"
"1829";"ALAGOINHAS";"BA"
"3266";"ALAMBARI";"SP"
"2250";"ALBERTINA";"MG"
"453";"ALCANTARA";"MA"
"893";"ALCANTARAS";"CE"
"1243";"ALCANTIL";"PB"
"5063";"ALCINOPOLIS";"MS"
"1830";"ALCOBACA";"BA"
"454";"ALDEIAS ALTAS";"MA"
"4598";"ALECRIM";"RS"
"3093";"ALEGRE";"ES"
"4599";"ALEGRETE";"RS"
"671";"ALEGRETE DO PIAUI";"PI"
"4600";"ALEGRIA";"RS"
"2251";"ALEM PARAIBA";"MG"
"157";"ALENQUER";"PA"
"1076";"ALEXANDRIA";"RN"
"5272";"ALEXANIA";"GO"
"2252";"ALFENAS";"MG"
"3094";"ALFREDO CHAVES";"ES"
"3267";"ALFREDO MARCONDES";"SP"
"2253";"ALFREDO VASCONCELOS";"MG"
"4310";"ALFREDO WAGNER";"SC"
"1244";"ALGODAO DE JANDAIRA";"PB"
"1245";"ALHANDRA";"PB"
"1468";"ALIANCA";"PE"
"313";"ALIANCA DO TOCANTINS";"TO"
"1831";"ALMADINA";"BA"
"314";"ALMAS";"TO"
"158";"ALMEIRIM";"PA"
"2254";"ALMENARA";"MG"
"1077";"ALMINO AFONSO";"RN"
"3906";"ALMIRANTE TAMANDARE";"PR"
"5273";"ALOANDIA";"GO"
"2255";"ALPERCATA";"MG"
"4601";"ALPESTRE";"RS"
"2256";"ALPINOPOLIS";"MG"
"5141";"ALTA FLORESTA";"MT"
"1";"ALTA FLORESTA D'OESTE";"RO"
"3268";"ALTAIR";"SP"
"159";"ALTAMIRA";"PA"
"455";"ALTAMIRA DO MARANHAO";"MA"
"3907";"ALTAMIRA DO PARANA";"PR"
"894";"ALTANEIRA";"CE"
"2257";"ALTEROSA";"MG"
"1469";"ALTINHO";"PE"
"3269";"ALTINOPOLIS";"SP"
"3270";"ALTO ALEGRE";"SP"
"4602";"ALTO ALEGRE";"RS"
"138";"ALTO ALEGRE";"RR"
"456";"ALTO ALEGRE DO MARANHAO";"MA"
"26";"ALTO ALEGRE DO PARECIS";"RO"
"457";"ALTO ALEGRE DO PINDARE";"MA"
"5142";"ALTO ARAGUAIA";"MT"
"4311";"ALTO BELA VISTA";"SC"
"5143";"ALTO BOA VISTA";"MT"
"2258";"ALTO CAPARAO";"MG"
"1078";"ALTO DO RODRIGUES";"RN"
"4603";"ALTO FELIZ";"RS"
"5144";"ALTO GARCAS";"MT"
"5274";"ALTO HORIZONTE";"GO"
"2860";"ALTO JEQUITIBA";"MG"
"672";"ALTO LONGA";"PI"
"5145";"ALTO PARAGUAI";"MT"
